John,Jones,1998,2.17956,50.3783
Придурочный,Новиков,1975,1.96268,99.1835
Чувак,Йоу,2007,1.773, 99.1337
Mary,Smith,1964,1.78918,71.0306
David,Smith,1991,1.97179,70.0014
Robert,Jones,1965,1.67073,116.273
Patricia,Smith,2016,2.05326,99.0087
Дмитрий,Кузнецов,1981,1.92308,79.3707
Patricia,Williams,1993,2.04044,64.4652
Никита,Петров,1985,1.84915,84.4801
Robert,Roslovtsev,2006,1.95328,96.5677
Robert,Brown,2002,1.82355,105.942
Robert,Miller,2000,2.05944,106.953
Robert,Roslovtsev,1999,1.85287,73.4834
William,Wilson,2006,1.81335,62.2396
Vladimir,Jones,1961,1.54358,114.168
Elizabeth,Moore,1991,1.95428,61.4017
Максим,Сидоров,2022,1.92827,76.7412
Linda,Johnson,1973,2.11433,110.47
Дмитрий,Человек,1964,1.70625,81.0632
Никита,Человек,1952,1.82786,103.444
Придурочный,Смирнов,1965,2.03894,82.7907
Никита,Петров,1980,2.04287,60.589
Vladimir,Moore,1989,1.82637,102.894
Никита,Смирнов,2013,2.08688,62.9877
Mary,Taylor,1986,1.59652,87.5723
Придурочный,Человек,1983,2.01462,55.7192
Elizabeth,Johnson,1950,1.90808,110.765
Robert,Moore,1981,1.74231,73.0276
John,Jones,2016,1.81831,78.2553
Robert,Jones,1956,2.07657,64.94
Robert,Johnson,1985,1.60422,51.5818
William,Williams,2008,1.81966,111.757
Алексей,Морозов,1991,1.98564,74.3191
Elizabeth,Johnson,2001,2.11963,110.609
Robert,Smith,1980,1.78613,72.7485
Jennifer,Miller,2017,2.13259,68.7749
Дмитрий,Новиков,1966,1.72739,61.5035
Придурочный,Новиков,1989,1.62438,74.3763
Никита,Васильев,2015,1.66101,67.3568
Elizabeth,Davis,1968,1.61734,98.6756
David,Roslovtsev,1951,1.7237,105.57
John,Williams,1958,1.78671,86.9296
Чувак,Васильев,1982,1.65479,99.2276
Иван,Новиков,1987,1.8723,113.531
Robert,Johnson,2008,2.09809,52.505
Mary,Brown,1994,2.09923,54.1308
Максим,Сидоров,1985,1.71121,61.8802
Linda,Johnson,2012,2.01999,99.8986
Алексей,Иванов,2004,1.56832,106.01
Четтер,Кузнецов,1978,2.19641,97.3132
Максим,Кузнецов,1952,1.90713,108.209
Jennifer,Taylor,2005,1.82,113.125
Чувак,Смирнов,1958,1.78125,117.699
Никита,Морозов,2019,1.76462,106.823
Дмитрий,Человек,2013,1.99111,70.812
Алексей,Смирнов,1997,1.7906,71.4289
Алексей,Смирнов,1990,1.88852,74.7391
Vladimir,Davis,2008,1.67285,64.8729
Никита,Иванов,1957,1.50456,78.2912
Иван,Человек,1981,1.97392,100.894
Алексей,Кузнецов,2003,1.71728,74.8489
Иван,Васильев,2017,1.92356,81.2586
Vladimir,Wilson,2012,2.01476,81.853
Vladimir,Miller,1959,1.76355,69.2291
John,Wilson,2011,1.9509,104.395
Чувак,Петров,1965,1.99975,74.6408
Michael,Johnson,1972,2.00709,95.3633
Vladimir,Smith,1956,1.85419,97.3639
Иван,Васильев,1974,1.50164,119.831
Vladimir,Williams,1991,1.7866,75.3984
Patricia,Moore,2000,2.12877,60.024
William,Johnson,1956,2.19102,66.7324
Jennifer,Brown,1976,1.90306,109.498
Четтер,Новиков,1954,1.94786,53.0906
Elizabeth,Roslovtsev,1962,1.50501,82.6631
Чувак,Морозов,2018,2.0672,75.1138
Четтер,Морозов,1971,1.80094,89.5235
Никита,Фёдоров,1978,1.94894,70.8695
Robert,Smith,2007,1.51529,74.6884
Никита,Васильев,1951,2.05991,74.6465
Придурочный,Сидоров,1997,1.67952,71.6474
David,Brown,1977,2.04892,102.26
Четтер,Сидоров,1955,1.61287,61.06
Mary,Moore,1971,1.50499,64.5849
Никита,Фёдоров,1972,2.17606,57.0192
Придурочный,Сидоров,1992,1.66043,100.092
Максим,Новиков,1979,1.58109,69.5125
Максим,Человек,1985,2.17849,50.2875
Vladimir,Roslovtsev,1974,1.70535,74.5129
Mary,Miller,2006,1.88655,106.388
Никита,Фёдоров,1963,1.82538,79.9756
Четтер,Человек,1963,2.01024,61.4013
Алексей,Йоу,1989,1.93812,59.919
Robert,Smith,1974,2.00093,109.776
Чувак,Фёдоров,2015,1.64707,88.7532
Чувак,Попов,1969,2.16474,103.451
Никита,Попов,2021,1.92301,64.7524
Jennifer,Smith,1983,1.98856,114.342
Максим,Фёдоров,1964,1.99439,114.772
Дмитрий,Морозов,1983,1.99263,100.097
Четтер,Петров,1971,2.09428,100.174
Чувак,Морозов,2009,1.82054,108.015
Elizabeth,Johnson,2004,1.75175,68.8002
William,Wilson,2017,2.18336,77.6586
Максим,Фёдоров,2011,2.18364,82.7807
Четтер,Васильев,1966,1.98425,80.4085
Дмитрий,Смирнов,2019,1.58143,52.706
Четтер,Иванов,1953,1.91516,75.4085
Linda,Moore,1991,1.71854,52.7872
Максим,Сидоров,2019,2.02348,66.4005
Алексей,Смирнов,1966,1.94659,100.177
David,Davis,1976,1.97611,74.6255
Vladimir,Jones,2000,1.77719,118.18
David,Johnson,2013,1.8995,81.3119
Mary,Taylor,2019,1.55373,82.4829
Никита,Иванов,1980,1.94899,103.726
David,Smith,1966,1.96511,54.4252
Elizabeth,Miller,2014,2.19309,103.66
Максим,Петров,1974,2.03264,97.5991
Vladimir,Miller,1962,2.11597,111.738
Никита,Кузнецов,1961,2.03654,100.235
Никита,Васильев,2007,1.52374,70.5887
Иван,Иванов,1979,2.08562,59.9529
Максим,Морозов,1986,1.69451,80.9915
Mary,Jones,1988,1.79301,101.301
Четтер,Морозов,1965,1.69895,96.3068
Четтер,Новиков,1953,1.5672,98.2131
Алексей,Человек,1971,1.71819,64.4416
Придурочный,Смирнов,1971,2.07742,54.1934
Придурочный,Петров,2023,1.60761,98.5522
Linda,Jones,1992,2.17835,68.4128
Четтер,Петров,2007,1.76224,119.713
William,Brown,1998,1.99186,112.455
Иван,Человек,2018,1.70443,87.5197
David,Davis,1969,1.63041,60.9148
Vladimir,Wilson,1964,2.1495,92.4807
Vladimir,Brown,1991,1.61936,84.5726
Четтер,Морозов,1984,1.65142,99.1101
Дмитрий,Петров,2015,1.63487,117.512
John,Brown,2006,1.86653,83.5323
Vladimir,Jones,1972,1.58446,93.6125
Linda,Moore,2002,1.90281,64.0297
Patricia,Wilson,1953,1.96085,51.7417
Алексей,Иванов,1999,2.08549,71.0273
Дмитрий,Васильев,2012,1.9527,76.7997
Linda,Miller,1967,2.0374,96.5161
Никита,Попов,1959,1.94847,73.4627
Jennifer,Johnson,2022,1.53411,92.7826
Michael,Davis,1980,1.55395,53.128
Robert,Williams,2023,1.8767,118.365
John,Davis,1999,1.94401,74.8265
Иван,Смирнов,2007,1.70588,67.6933
David,Davis,1979,1.9182,65.6003
Michael,Wilson,2023,2.00926,101.248
Четтер,Петров,1998,1.84311,56.0501
David,Taylor,1994,1.62991,108.114
John,Brown,1988,1.75411,102.168
Linda,Brown,2012,2.10208,85.7557
Robert,Wilson,1956,1.79317,118.257
Elizabeth,Moore,2011,1.8237,53.9941
Алексей,Человек,1980,1.91916,62.3175
Придурочный,Йоу,2011,1.68896,80.8024
Linda,Wilson,2021,1.76624,60.1314
Иван,Смирнов,2021,1.64835,102.196
Robert,Davis,1976,1.98332,103.522
Никита,Морозов,2006,1.57773,98.3908
Максим,Попов,1989,2.01262,106.696
Дмитрий,Морозов,1952,1.63545,53.0691
Дмитрий,Кузнецов,2020,1.76826,60.8377
Vladimir,Moore,1953,1.67068,76.7104
Mary,Johnson,1966,1.82193,89.5644
Иван,Петров,1984,1.60887,116.695
Дмитрий,Сидоров,1976,2.01676,62.4941
Алексей,Йоу,2002,1.60499,60.6239
John,Brown,1975,1.70849,110.16
Максим,Морозов,1981,1.64255,83.7
David,Roslovtsev,1992,1.93561,97.9397
Mary,Davis,1963,1.65124,57.3029
David,Moore,1994,1.75467,102.384
Robert,Smith,2001,2.00771,101.882
David,Roslovtsev,2016,2.05922,61.1403
Дмитрий,Смирнов,2021,1.95507,52.9314
Дмитрий,Фёдоров,1991,1.96163,89.2154
Michael,Davis,2002,2.14674,66.4288
Иван,Человек,2017,2.15203,84.5157
Придурочный,Новиков,1995,2.07452,111.102
Mary,Jones,1974,1.99333,66.2996
Четтер,Иванов,1986,1.88845,110.489
Vladimir,Jones,1952,1.65947,96.9543
Дмитрий,Петров,2018,1.53997,111.743
Mary,Williams,1981,1.62259,84.699
David,Wilson,2008,1.63537,54.7732
David,Smith,2020,1.92016,79.7938
Elizabeth,Roslovtsev,1957,1.91309,105.499
Чувак,Сидоров,1971,1.66357,102.315
Иван,Новиков,1963,1.97931,88.8081
Иван,Фёдоров,2005,1.75136,54.7254
